id;bill_id;sales_id;date;discount;vat;payment;total;customer_id;status;description
1;e-business orchid;Maryland Concrete;2021-04-18;72839;15999;38649;66988;wireless Denar;52018;Fresh
2;Gloves Strategist;state;2021-04-17;49293;38726;91135;8802;Plastic;13283;logistical Fresh
3;homogeneous Rubber green;Plastic auxiliary;2021-04-17;4511;87914;56721;96474;withdrawal Administrator;6393;Auto Heights Granite
4;portal Chief Loan;Handmade Security Ergonomic;2021-04-18;10229;92201;67802;33893;Implementation back Czech;15844;Direct Research Senior
5;Future Azerbaijan;payment deposit Sleek;2021-04-18;83241;44919;74298;90474;Rubber payment;38011;SQL Gorgeous Rubber
6;deliver rich Fields;niches support;2021-04-18;84068;31874;86193;44355;Rustic efficient;41422;Grenada virtual
7;haptic Electronics deposit;Account Bờ Indonesia;2021-04-17;26803;73221;62557;69822;Plastic withdrawal;27755;maximize
8;Nigeria;optical;2021-04-18;5821;93309;51628;77644;approach withdrawal Tactics;99553;Bedfordshire calculating next-generation
9;Global Incredible user-centric;Dynamic parsing Specialist;2021-04-18;27782;52295;81460;23385;seamless;84663;aggregate Shirt
10;CSS;Integration withdrawal Sleek;2021-04-17;17962;67542;35911;71031;orange Global;10178;reinvent Designer Avon
