id;order_id;bill_id;product_id;quantity;price
1;circuit multi-tasking;Specialist Product;Dynamic generation;20203;28164
2;Michigan;hack Delaware;Configuration Savings;64915;37752
3;bypassing cross-platform;Phi;orchestrate Executive Chicken;530;89675
4;Canada gold;holistic;purple wireless Industrial;18048;22053
5;yellow Personal Indiana;SMS;Cambridgeshire auxiliary 24/7;99011;22074
6;Gorgeous Fresh Điển;Tasty SMTP;high-level Card Investment;96370;48193
7;Internal;transmit Concrete disintermediate;deposit;6407;206
8;PCI SCSI SCSI;Arkansas;synthesize và Won;23626;48555
9;envisioneer multi-byte Extended;1080p Practical;CSS bypass back-end;30918;84534
10;integrate Markets;Refined Chief Towels;Integration;8157;70839
