id;product_id;product_name;quantity_available;price;date_import;expire_date;description;category_id;volume
1;Open-architected Savings;paradigms;23949;94433;2021-04-18;2021-04-18;redundant;Dakota neural ADP;66498
2;auxiliary;toolset Chair static;53910;83998;2021-04-18;2021-04-17;SCSI Shirt Berkshire;analyzing Arkansas Robust;66993
3;Metal Towels Automotive;invoice Green synergize;61779;92615;2021-04-17;2021-04-17;Coordinator efficient Legacy;Solutions;72120
4;encoding hacking;integrated;49217;27752;2021-04-17;2021-04-18;calculate;SQL;72559
5;payment;even-keeled alarm;65873;76456;2021-04-17;2021-04-18;intermediate Gardens yellow;Reactive;34338
6;invoice payment;lavender well-modulated;43431;68354;2021-04-17;2021-04-17;whiteboard;info-mediaries generating;7557
7;Associate;Iowa e-commerce Operations;86959;43768;2021-04-18;2021-04-18;wireless;compressing cutting-edge West;91116
8;Configurable;virtual Clothing;39104;67409;2021-04-18;2021-04-18;quantify portals Sleek;Internal partnerships;53476
9;Manager;Branding hacking back-end;31224;5961;2021-04-17;2021-04-18;Agent blue;interactive;73158
10;secondary Nevada;olive;58399;66866;2021-04-18;2021-04-18;compelling;Strategist;96305
