id;store_id;store_name;store_phone;store_adress;store_rent
1;Account;gold;User-centric bi-directional;IB;13670
2;Buckinghamshire;Buckinghamshire Visionary compress;evolve navigate;haptic;81251
3;static calculate;Garden Station;AGP EXE;optimizing Towels azure;68558
4;sensor Square;EXE Dominican;alarm Dakota;protocol revolutionize Dynamic;26002
5;process Rupee Metal;Streamlined;synthesizing analyzer;Specialist Industrial;79701
6;incentivize Idaho;Account;Island New Refined;Plastic Concrete;89961
7;Baby;Focused;reboot;Pants Personal;1918
8;FTP;Intranet Metal programming;parsing global;context-sensitive Unbranded Iceland;48399
9;AI Borders back-end;USB;Kids;hack;35591
10;Account South Checking;haptic Steel User;Orchestrator;copying Mouse Coordinator;66343
